 	mean (66)		min		max
Theme	00:51	Gulda 1957	00:40	Scherbakov 1997	01:19
Var. 1	01:44	Katchen 1953	01:16	Ugorski 1991	02:47
Var. 2	00:51	Webersinke 1965	00:31	Barenboim 1965	01:10
Var. 3	01:27	Backhaus 1955	01:04	Bjørkøe 2011	02:17
Var. 4	01:05	Pludermacher 1985	00:45	Afanassiev 1998	01:41
Var. 5	00:55	Pludermacher 1985	00:43	Sokolov 1985	01:14
Var. 6	01:42	Pludermacher 1985	01:19	Rangell 1977	02:23
Var. 7	01:06	Gulda 1957/1970	00:51	Kurtág 1999	01:24
Var. 8	01:27	Richter 1951	00:52	Bjørkøe 2011	02:25
Var. 9	01:47	Demus 1971	01:13	Afanassiev 1998	02:28
Var. 10	00:36	Pludermacher 1985	00:30	Bjørkøe 2011	00:46
Var. 11	01:05	Judina 1961	00:38	Bjørkøe 2011	01:49
Var. 12	00:55	Backhaus 1955	00:37	Bjørkøe 2011	01:44
Var. 13	01:01	Gulda 1957	00:42	Bjørkøe 2011	01:27
Var. 14	03:57	Backhaus 1955	02:09	Bjørkøe 2011	08:23
Var. 15	00:36	Serkin 1954/1957	00:30	Levin 2009	00:44
Var. 16	00:59	Shure 1948 / Gulda 1957	00:50	Kurtág 1999	01:14
Var. 17	01:00	Backhaus 1955	00:49	Kurtág 1999	01:13
Var. 18	01:43	Staier 2010	01:07	Bjørkøe 2011	03:51
Var. 19	00:52	Katchen 1953 / Levit 2015	00:42	Levin 2009	01:06
Var. 20	02:12	Judina 1961	01:14	Schnabel 1937	03:31
Var. 21	01:16	Gulda 1970	00:53	Bjørkøe 2011	01:54
Var. 22	00:45	Schnabel 1937	00:30	Anda 1961	01:05
Var. 23	00:52	Brendel 1976	00:43	Kurtág 1999	01:05
Var. 24	02:58	Gulda 1970	01:36	Levin 2009	04:11
Var. 25	00:46	Pludermacher 1985	00:35	Sokolov 1985	01:00
Var. 26	01:14	Richter 1951	00:43	Hill 1990	01:57
Var. 27	00:59	Serkin 1954	00:49	Bjørkøe 2011	01:20
Var. 28	00:57	Horszowski 1951 / Katchen 1953 / Vladar 1991	00:46	Kurtág 1999	01:19
Var. 29	01:17	Steuermann 1963	00:42	Ugorski 1991 / Bjørkøe 2011	01:49
Var. 30	02:01	Judina 1961 / Steuermann 1963	01:08	Afanassiev 1998	03:11
Var. 31	04:50	Torbianelli 2011	03:30	Vieru 1996	08:01
Var. 32	03:01	Shure 1948	02:29	Afanassiev 1998	04:03
Var. 33	03:51	Richter 1951	02:35	Afanassiev 1999	05:35
